Title,Stars,Thoughts:,Date,Username,Verified Purchase ?,Thumbs up,Thumbs down
Skin Medica TNS Advanced Serum,5,"I was told that this product is life changing or as some people call it “liquid gold” and it kind of is! It’s pricey, but a little goes a long way! I would recommend this product for any age but particularly for 55 and over. The fine lines are less noticeable!",9/13/22,Kathy,True,0,0
Best Serum Ever,5,I will never use anything else! It works!,9/7/22,Lane,True,0,0
Return to SkinMedica,5,"I took a break from SkinMedica for awhile. TNS Advanced+Serum was new to me. The reviews were good. I do notice an improvement, especially in skin tone, which appears firmer and tighter around the jaw. I have had no adverse effects at all. The only drawback for me was the high price....",9/2/22,claire,True,3,0
THE BEST,5,"Expensive but the only thing that has been able to soothe my ultra-dry, cracked skin.",9/1/22,NZ,True,0,0
Will never be without it,5,"It took years for me to pull the trigger on this, now I’ll never be without it. Has really improved my skin. I have very sensitive skin around my eyes and this serum has strengthened it. The amount of time I can go between Botox appointments is significantly longer, and my crows feet have diminished. Good for overall tone, texture and skin strength. ",8/28/22,Abby,True,1,0
Simply the best,5,"I wasn't a fan of the old TNS Serum for aesthetic reasons (hated the smell and appearance), but it worked well. But I'm in love with the Advanced formulation! The little scent it has is appealing and the new formulation has a nicer texture. As to how well it works, well, know that this is the only product I've ever put on auto-ship, and that says a lot given the price tag. But it's simply the best serum out there. Every now and then I try another medical-grade serum (Skinbetter and Defenage have been contenders) but I always go back to this one and I get tons of compliments on my 58-year-old skin. FYI, I started using TNS about 10 years ago; not sure I'd recommend it for a young person due to the cost--they might be just as well off with a great moisturizer and sunscreen. But if you can afford it, I'd definitely try it because I don't think there are any better serums out there.",8/26/22,Molly,True,4,0
Amazing,5,This was highly recommended and I don’t regret buying this - on my second bottle! Helps reduce fine lines and leaves your skin plump and looking fresh. ,8/21/22,Jackie,True,0,0
TNS Advanced +Serum,5,This product is worth every penny!!! This is my second purchase & my skin has felt amazing & I really think my face has tightened where it was sagging!,8/18/22,Tina,True,0,0
Plumps skin,4,I lik e this product because it plumps your skin up immediately and makes you look fresh and a bit younger ,8/16/22,K,True,0,0
Mary,5,I have been using this product since it came out. I love it!! It really has improved my skin. You only use a little bit so it last a long time. ,8/15/22,Mary,True,0,0
TNS Serum,5,I was told by my doctor that the one thing I must do everyday is use TNS. He explained how and why it was developed and the importance of its use.,8/13/22,Judie,True,2,0
Wonderful Product,5,"This product was recommended to me by my aesthetician...goes on very smoothly & seems to help with fine lines, sun damage & overall healthy, youthful looking skin. However, I do not like the price, very expensive!!!",8/11/22,Joanne,True,3,0
Second bottle,5,I really like this product. I bought this twice so far! Will continue use.,8/10/22,Katie,True,0,0
I'm a Believer,5,"I was skeptical about trying this for a while - I've been using their HA5 and Retinol 1.0 for a couple years and love them, but wow...this is going to be a pricey addition to my routine. I've been using once a day (evening) for three weeks, and some pesky & painful recurring nose acne has all but disappeared, which I wasn't expecting at all. The product feels so good when applied, my skin texture feels great when I splash water on it in the morning, and I've definitely noticed a decrease in fine lines on my forehead.",8/3/22,Alexandra,True,1,0
Amazing,5,"Amazing product! Instantly smoothes and hydrates my skin. I use one pump at night before tretinoin, which eliminates my dry, flaky, itchy skin.",7/31/22,N,True,1,0
Necessary skincare,5,I absolutely love this stuff. It had helped my acne breakouts and diminishing fine lines and wrinkles. It’s pricey but I’ll never not have this in my regimen. I highly recommend. ,7/24/22,Katie,True,0,0
Skinmedica TNS,5,This serum improves the texture of my face and it feels so smooth plus it helps wrinkles!!!,7/20/22,Stacy,True,0,0
Magic in a Bottle,5,"This serum is amazing. I e been using it for 3 years and it’s taken 10 years off my face & neck. Twice a day gives you glow, taughtness, invisible pores, and no wrinkles. ",7/19/22,BeachMomma,True,2,0
So far so good,4,Keeps skin clear and so far not any significant changes but will keep using. ,7/13/22,Lydia,True,0,0
Question + great product,4,"Love this product and it works. It doesnt last too long though (just a couple of months). However, would love to know if i should apply it before a vitamin c antioxident product or after? I always heard to do vitamin c products first. Thanks ",7/13/22,Claire,False,4,0
Must have,5,Skin smoother in just one week of use. I’m hooked!,7/8/22,Rachel,True,0,0
Tns serum,5,I use this serum on clean skin  before vitamins C,7/6/22,Mmarinatic,True,0,0
So far it’s nice,3,It’s only been a week so far but hasn’t broken me out and seems nourishing. Sure is expensive so I hope I notice something. ,7/3/22,Emily,True,1,1
I Think it Works!,5,It’s always hard to tell with skincare since you need to use it a while consistently. But I really do think my skin has stayed youthful looking,6/30/22,Ladi Dadi,True,0,1
Not impressed,2,"I went through the entire bottle of this and saw no reduction in fine lines. The serum feels nice enough and didn't cause me to break out. But overall I am not impressed, especially considering the hefty price tag. This 1oz bottle lasted me about 6 weeks of twice daily use. I do not plan to buy again.",6/28/22,Kaitlin,True,5,0
Believe the hype!,5,A product that delivers exactly what’s claimed. In just 2 weeks my skin has never looked better. As a person with sensitive skin it’s hard to find a anti aging routine that works without causing irritation. Yes the price point is high but the value is definitely there. ,6/26/22,Jay,False,0,0
Amazing!,5,"I love this product. It goes in super smooth and I love how it feels. It makes my skin soft, smooth , plump, and my pores are visibly smaller! Will definitely buy again when I can budget for it but I feel it's worth the money because it's such a great product!",6/25/22,Lori-Ann,True,0,1
Love this serum,5,This is pricey but it has kept my skin looking and feeling younger and fresher! I use it once a night before retinol in order to make it last about 6 months.,6/17/22,MC,True,0,0
Noticeable results,4,I just finished my first bottle and I def see an improvement in sagging skin and texture. I have used twice a day ,6/13/22,Jocelyn,True,0,0
Buy it!!,5,"Completely changed my skin. It’s smoother, less lines, and brighter. Don’t have sticker shock, this is worth every penny!",6/13/22,Lauren,True,0,0
Great product!,5,"I have tried a lot of antiaging products, and this is one of the best! I love the feel and look of my skin since I have been using this for the last several years.",6/8/22,Kathy,True,0,0
Nice,5,This serum is very nice and I can definitely see a difference in my skin already.,6/7/22,Lauren,True,0,0
Favorite!,5,SkinMedica TNS Advanced Serum is my favorite face product.  It absorbs well.  I really like how my skin feels after application.,6/6/22,amy,True,0,0
Nothing special,2,"I like the texture of this product but so far I don't see any difference in my skin. More importantly, this product piles under everything even my NeoCutis Micro Night cream. Due to it piling, I can't use it during the day , only at night. I will keep using at night but I will not reorder.",6/5/22,Angela,True,0,0
Great Serum,5,"I have only been using this serum once a day for a few weeks, so I can't say I have noticed anything as far as the lines on my face, but it has improved my acne significantly and my overall skin appearance is much improved. I wish I would have bought this sooner, but it is quite expensive, though I think worth it.",6/5/22,Nora,True,0,0
Give it a try,5,"It’s not a miracle cream and you won’t notice a difference after the first day but it builds over time. I’m on my second bottle  and my skin texture looks better.  I’m acne prone, have/had acne scars and since I started using this product my acne scars are slowly fading even the new ones heal faster. My overall complexion looks better. It works fine under make up and at night I put it over my prescription tretinoin with no problem. ",6/5/22,Diana,True,1,0
Maybe?,3,I’m on my 3rd bottle. I’m not convinced that I see any changes in my skin from it.  But everyone else seems to love using this product so I plan on continuing to use it twice daily just in case my skin is benefiting from it.,6/4/22,Amy,True,0,0
The best brand,4,"I purchase almost exclusively Skin Medica products for the visible results.  I have been using the brand for years and my skin is very good at 60.  This particular product is expensive but I've tried other less expensive brand with little results, resulting in a waste of money.  So I will continue to use this product even though it is expensive...but with the rewards program I am able to save 15  to 20 dollars each time!",6/3/22,Lora,True,0,0
"Good, but…",4,"It’s a great product overall. I’m on my second bottle and will order again, butthe only downsides : 1)the pump system is inadequate. After a month of use it stops working. 2) it’s hard to tell when you run out of the product because of the bottle being opaque. And sealed pump. ",6/2/22,Silvana,True,2,0
People Noticed!,5,I used the original TNS serum but the advanced version is SO much better! Fabulous results!,6/1/22,Dori,True,0,0
Beautiful Results,5,"This serum visibly improved my skin as soon as I started using it.  It’s lightweight, goes on beautifully and makes my skin feel smooth and nourished.  Highly recommend!",5/31/22,Beth,True,0,0
Expensive but worth it,5,Expensive serum but worth every penny. I use this at night before my prescription-strength retin-a and it keeps my skin from feeling tight. It has also helped minimize dry skin and flakiness that happens with tretinoin use.,5/31/22,N,True,0,0
Great Product,5,"This product is expensive but so amazing! I have been using it for a little over a month now and I can already see results. My skin has a more even tone, looks brighter, and feels smoother. I also have some age spots that are starting to lighten up. Highly recommend!",5/30/22,Stephanie,True,1,0
Seems to help,4,I think this product helps my skin. Sometimes it feels dry afterwards so I put on additional lotion. ,5/23/22,Tiffany,True,0,0
Very effective,5,"Pricey, but you get what you pay for.   Very effective in helping fine lines, wrinkles.  Doesn’t pill with other products.  I use am & pm. ",5/21/22,Laura7771,True,1,0
Best anti-aging skin renewal,5,"After facial cosmetic surgery, the best spa in Wisconsin, Quintessa, recommended using SkinMedica's TNS Advanced+ Serum for aging facial skin regeneration, to achieve a  more youthful  appearance.  After daily use, my skin looks great . You will love the results of this highest-quality SkinMedia product!",5/21/22,Butch,True,0,0
TNS Serum,4,"No scent, goes on smooth. Pump dispenses a small amount. Must keep bottle upright to pump full amount. Don't like that you can't see how much is in the package",5/19/22,Lauren,True,0,0
Best skincare product i have ever used.,5,I have enjoyed this product for over 30 years. It is the second most important product next to sunscreen I have ever used. I even gave it to my Mother for Mother's Day. Highly recommend.,5/7/22,Susan Sando,True,0,0
Game changer,5,"I started TNS Serum using about 4 years ago then moved to the Advanced once it came out. This product is pricey but completely worth the hype. People kept telling me I looked “different” thinking I had work done (in late 50’s). This,  plus HA, Skincueticals CE  and Tretnoin have completely transformed my skin. ",5/2/22,Charlene,True,3,0
Love it,5,"Very effective, i will purchase again and  recommend to friends. Skin is glowing and moisturized. ",4/30/22,Danielle,True,0,0
Recommended by my dermatologist,4,I've been using this product 1x/day in conjunction with TCA cross and Laser Genesis as recommended by my dermatologist and have seen an overall improvement in my skin from fine lines and improved texture. My dermatologist highly recommends this product.,4/27/22,MC,True,0,0
Wow,5,"This is by far my favorite must have skincare product. Most skincare you do t really know if it’s working, this has understandable results. When I open a new bottle I order my back up as I do t want to be without it. It’s worth the cost stop wasting money on products that don’t work. This alone does wonders",4/26/22,Margo,True,1,0
The Ultimate,5,"Only serum you will ever need. Fast results, barely any scent, light, absorbs immediately and is a game changer when it comes to anti aging.  ⭐️⭐️⭐️⭐️⭐️",4/23/22,TR,True,0,0
Hate how much I love this,4,"Truly hate how much I love this serum because the price is insane (which is why I took 1 star off). But as someone who struggles with acne, post-inflammatory hyperpigmentation and some aging, nothing heals my skin better than this serum. ",4/19/22,Michelle,True,0,0
Problem with the pump,2,I really want to like this and the other dual chamber serum product but the pump really doesn’t work well just like their other product. So won’t be wasting my money on this or the other one ever again. ,4/18/22,Sofia,True,1,0
Best ever,5,"Being that I already have a healthy skin care regimen and frequent chem peels and micro needling , I was skeptical if this serum would even help until a few weeks ago (2 months into this serum) I totally noticed my nasolabial folds have diminished. This will absolutely be part of my regimen from now on.",4/17/22,Lani25,True,1,0
Magic,5,"Worked wonders for my skin. I don’t know why but my skin looks significantly better using this. I think I will be able to just use this with sunscreen in AM and retinol and CeraVe at night. It isn’t replacing a need/desire for botox or filler (I’m 43 and haven’t jumped in that arena yet) but overall the improvement to texture, tone, reduced irritation is significant enough for me to figure out how to make this work in my budget. ",4/16/22,RJ,True,0,0
LOVE LOVE LOVE,5,"I used the original TNS serum years ago and loved it, but it was way out of my budget so I never repurchase. Fast forward about 5 years and 2 babies later, I've got a small fine line in my forehead that was starting to bug me. I've used this for about 4 months now and have really noticed a difference in how noticeable that line is. Worth the price tag because it actually works! Will continue to purchase! And am planning to get my husband to use it too",4/14/22,Diem,True,0,0
Too expensive for good skin,2,"So, I bought this one sale and I’m glad I tried it. However I already use other great products like SkinMedica, Obagi etc. and my skin is pretty clean, clean, and vibrant. I didn’t see any significant changes to my skin after using this twice a day for 45 days.  It’s smooth and silky, but as far as results - not worth the price. If you already take care of your skin, pass on this and continue on with your other great products - Retinol, vitamin c etc.",4/12/22,Jen,True,3,0
It works,5,"I started this in November and just looked at pics side by side from when I first started to today. Same shot, same lighting, no makeup. Today after using for four months based on the photos the lines from end of lips to nose has almost disappeared and the bags under my eyes have almost disappeared. My derm recommended this and I was hesitant at first because of the price tag. But I’m on my second bottle and will continue to reorder. ",4/8/22,Ariel,True,0,0
Great product,5,Really love this product. I noticed a difference after a few uses and that continued. Really happy with it and would recommend it anyone. ,4/6/22,Joanna,True,0,0
SkinMedica TNS Advanced+ Serum is Fantastic,5,I really see a difference after using this product for 3 weeks. It goes on very smooth and feels great. I definitely plan to continue using this product.,4/6/22,kaf,True,0,0
Amazing skin,5,Just be patient. This really works. Skin looks and feels younger.,3/23/22,cawj,True,0,0
Holy Grail,5,This is one of my favorite products for my face. I always have back up because I never want to run out!,3/22/22,Larkin,True,0,0
Pump broken,1,The pump completely stopped working on one side after just a couple uses. Unacceptable given the price point. Will not be repurchasing.,3/18/22,Renee,True,2,0
Can’t live without,5,It is a high price point but worth every penny. My skin looks noticeably younger. Definitely a staple in my routine. ,3/18/22,mary,True,0,0
Great product,5,Took me awhile to finally purchase this. It is pricey but I don’t think I can live without it now. It has mad a tremendous difference in the fine lines around my lips and eyes. Highly recommend.,3/17/22,Kimberly,True,1,1
Compliments on my skin,5,I have been using the Advanced Serum along with other SkinMedica products. I'm in the over 55 age group and frequently get compliments on my skin. I think using the products definitely contribute to it.,3/17/22,Harri,True,0,0
Recommended by my dermatologist,5,"In a recent visit to my dermatologist, the TNS Advanced+ Serum was recommended to me to reduce signs of aging on my face. I was able to find this SkinMedica product for a much more reasonable price on your site through the subscription option. Delivery and quality of product have been superb! Your store had been recommended by her for other skin care products.",3/15/22,Keen,True,0,0
Amazing!,5,"I am so glad I finally tried this product.  I hesitated for over a year because of cost, well, here to say I am SO happy.  Great great product!",3/14/22,JULIE,True,2,0
"Amazing, beautiful skin",5,I love this product and it’s one that is worth every penny. I will not let myself run out of it. It gives me skin a glass appearance so supple. Love love love it,3/12/22,Margo,True,0,0
MUCH IMPROVED over the original,5,"Don't get me wrong, I loved the original. But this is the perfect example of making a few small tweaks to take something from ""amazing"" to ""can't live without it"". My issue with the last one was it always left a slight orange tint to my skin. And if you accidentally got it in your hairline, it was a mess. This new version goes on clear and it's oh so much better. Well done, SkinMedica!",3/12/22,melissa,False,1,0
Worth every dime!,5,"My plastic surgeon  who does my Botox highly recommended this product. I had a bit of a sticker shock when I saw the price; however, being able to AfterPay it made it much more appealing. I have been using this product now going on 2 years and I simply love it! People will pay a lot of money for purses, clothes, etc. but will pause at spending $ on themselves. Investing in the only face/body you will ever get is worth it!!",3/12/22,Kelly,True,1,0
TNS Holy Grail Serum,5,I absolutely love this product since the moment I tried it and won't be without it. It goes on like a dream and every day helps your skin look a little better. A must have. A recommendation from my plastic surgeon who is a top surgeon in Boca Raton.,3/12/22,lisaamy,True,0,0
Pricey but effective,4,"This serum  is at a high price point.  It’s ingredients are effective.  And the results are good. Recommended usage is 2X per day,  which means it will only last about a month.    I would have given 5 stars,  but the price point is quite high,  so gave it 4 stars.    I am 68 years old and this is part of my regular routine.  I cut back to only using 1X per day to help defray cost a bit.",3/10/22,Rebecca,True,0,0
Good for your Skin,5,"Love, Love,Love this product! My skin loves it and it layers well with other products. Feed your skin!",3/10/22,DD,True,0,0
Nice product,5,"About 3 weeks into use and the product has made my skin feel amazing. I know after about 12 weeks will be the true test but initial results show smoother, supple, moisturized skin",3/8/22,pjd,True,0,0
Game changer,5,"I am on my second bottle of this product so I feel I can give an accurate review. This product (as well as any growth serum) takes time to see the benefits. It is expensive but with Skin Medica you get what you pay for. My wrinkles and texture have improved so much. If you only chose one product to use, hand down to his one. ",3/5/22,Jessalynne,True,1,0
WOW,5,"I’ve been using this product for a week and I can already see differences in my skins overall texture, fine lines , and wrinkles. It is fully worth the price. I’ve been glowing ever since I started using it in my day and night skincare routine.",3/4/22,Marissa,True,0,0
In love!!,5,I’ve been using this serum for months and my skin looks amazing!! So many compliments on how pretty I look. Thank you TNS!!! I’m now on a subscription!!,2/23/22,Kristen,True,2,0
Liquid Gold,5,"This product is amazing. Once I put it on my skin, my skin feels so soft and silky.  I wish they made it for your whole body. I will never stop using this.  ",2/22/22,Donna,True,0,0
Noticed a difference,5,"I noticed a difference in skin texture in a few weeks. Look forward to using the product long term to see the full benefits. No issues with the dispenser as some others noted, but I do tap the bottle a few times on the bottom before dispensing the product as suggested on one of their sites. ",2/8/22,Katie,True,2,0
Good quality serum,4,"Absorbs well into skin and if used diligently, it does seem to be effective as my forehead lines are slightly less prominent. Will continue to use. ",2/7/22,Witherwings,True,0,0
"Expensive, disappointing",1,"I was really excited to try this serum based on all the reviews I had been reading, but I have to say that so far it has done nothing for my skin; I haven't seen any differences. The container barely has any serum and is a very steep price, and the smell was a bit nauseating to me as well.",1/29/22,Rae,True,3,1
Transformative!,5,"This is by far the most expensive product I have ever used. At 35, with sun-damaged skin and many fine lines that are deepening into true wrinkles around the eyes, I decided to give this a try. It is far and a way the most powerful, transformative product I have ever used - and I’m only 2 weeks in to daily usage. Fine lines appear diminished, pore size is reduced, and my skin is more luminous and moisturized than ever before - with any serum, moisturizer, or combo product I have ever used. Real results were an honest surprise to me, and I can’t wait to see what happens after using this for longer. It’s pricey, but I literally feel the years ticking back on the clock and that feels worth it to me.",1/22/22,C,True,0,0
Happy customer,4,Very pleased with this product. Using daily only 1x per day and bottle last 3 solid months. Helps me to feel better about the cost. Definitely feel it’s worth the money though. More impact with just one product,1/6/22,Kristen,True,4,0
The BEST product,5,This product is the absolute best for improving the appearance of your skin.  I work in the skincare industry and swear by this product for visible results almost immediately.,1/5/22,Darlene,True,0,0
Still waiting on big magic but I have noticed results,4,"I have seen some improvement, more noticeable improvement than I do with most products. However, for this price I am hoping that by the end of the bottle I see a little bit more before I decide to make the investment again. ",1/4/22,Kaitlin,True,3,0
The Very Best,5,"TNS Advanced Serum is unlike anything I've ever used. Don't ever want be without it, and I highly recommend.",1/3/22,Allison,True,1,0
Highly recommend this serum for non retinol nights!,5,"I love this serum! I use it on alternating nights when I am not using my retinol during my nighttime routine!! I always wake up with super soft and glowing skin in the morning! It is worth the money for me!! I put it on after double cleansing, and follow up with the triple restore moisturizer from skin ceuticals. I have combination skin that is more on the oily side and I have had no breakouts while using this product!",12/30/21,Natasha,True,2,0
Time will tell,5,"I have been using SkinMedica's TNS Essential Serum for a while but recently decided to give the Advanced+ Serum a try. While I can't tell how effective it is compared to the sister product, I do like the feel and that it doesn't react with my skin. It's very expensive so hopefully it's helping!",12/30/21,Alina,True,0,0
Years of consistent use has worked!!,5,"I get compliments on my complexion quite often.  They asked what I use?  I’m always happy to say SkinMedica TNS Advanced Serum!   After a few months of use, I could tell a big difference in the smoothness of my skin. I have tried other facial products in the past but none have been as helpful as this one.  I wish the cost were less so I always buy on sale.   I highly recommend!",12/28/21,Bronda,True,0,0
I do love this!,5,"I love this product, because it’s so costly I do only use it every other day, with the moisturizer and I can say over the last 90 days it’s really help change my skin. ",12/28/21,Danielle,True,0,0
Great Product,5,This product helps reduce fine lines with continued  daily use. ,12/26/21,Lyn,True,0,0
Game changer,5,"This serum changed my skin. I use it as a first layer before my prescription retinol, and I no longer have tight, red, dry skin. ",12/25/21,N,True,1,0
So far so good!,5,"One of the beauty influencers I follow is constantly posting about this product and I finally gave in to purchase for myself. It's only been a couple of weeks but so far I'm a fan! It goes on super smooth and doesn't feel heavy at all. I've been using just retinol for years and I'm hoping that adding this in will be my ""fountain of youth"" secret for years to come but, only time will tell.",12/23/21,Kayce,True,0,0
My skin has never looked better,5,"I've been using this for 4 months, twice per day (along with vitamin C and SPF in the morning and retin A in the evening) and my skin had never looked smoother, more even toned and bright. Its expensive but with consistency it works.",12/23/21,CD,True,0,0
Works well,5,I have been using this morning and night for about 10 weeks and notice a difference.  I get compliments on my skin often.  It helps with fine lines.  ,12/22/21,Jennifer,True,0,0
Liquid Gold,5,"I LOVE this product! My dermatologist recommended it for the human growth factors and my esthetician uses it on me, as well. It is so expensive but I make this a must b/c it has helped my skin so much. The acne-scarring has faded, fine lines diminished, even my pores are smaller. I recently ran out and waited a bit to repurchase, debating if I wanted something more economical. I noticed my skin just didn't do well off of it. And why ruin a good thing? So I will continue to prioritize my 47 year old maturing skin b/c I think my 60 year old self will thank me one day! Do not stay on the fence! Get this.",12/10/21,Carrie,True,1,0
Game changer,5,This stuff is a total game changer as you get older. It’s pricey but totally worth it.  I noticed a difference quickly with this serum. ,12/10/21,Stephanie,True,0,0
Best serum I have used,5,"Expensive, but worth every penny! It gives you instant results, better texture, firmer skin, smaller pores. I will definitely keep this product in my skincare regiment, my only regret is that I didn’t buy it earlier.",12/8/21,A,True,0,0
Love!!,5,"This is my Go-To! I wash my face and if I don't use anything else, I always use this! Although I have lots of other products that I also try to put on, but sometimes life is busy and tiring and I just throw this on. Tip: Store it upside down and it seems to come out more even. I also usually pump this onto the top of my left hand, blend it, and then apply with my right hand fingers and I noticed the tops of my hands yesterday and I can definitely see a difference in how my left hand has improved! Time to start alternating! ha!",12/6/21,Suzanne,True,1,0
Effective,5,I’ve used this product for years.  It works on giving a more youthful overall appearance. ,12/1/21,Allison,True,1,0
That's the good one,5,I bought SkinMedica TNS Advanced+ Serum for my wife. She was very happy about the gift.,12/1/21,Bartlomiej,False,1,0
I saw results fast,5,This is an amazing product. It’s worth all the hype it gets because it work at a cellular level. The antioxidants are amazing as well! I would recommend this product to anyone to prevent aging on a cellular level!❤️ Ps I wished I started using the tns growth factor product when it came out! I feel stupid😢,11/30/21,Joy,True,0,0
Complete game changer,5,"This product changed my skin -  improved skin tone, fine wrinkles and I actually have a glow. I take very good care of my skin but nothing has given my skin new life like this product. I highly recommend it - I know it’s expensive, but Dermstore is very good about sending you notices of sales and I use their points system to get money off of each purchase. Get it… You’re worth it!",11/22/21,Charlene,True,1,0
Mostly Happy,4,So I like this product and feel it helps with lines and wrinkles however I don’t care for the disperse-double pump method doesn’t always work,11/19/21,Susan,True,8,0
Must Have Serum,5,"This goes on beautifully, and the results are quickly visible.  Plumped skin, smoother texture and slight reduction in pore size.  Used 2x daily as an integral part of my system  (Skinmedica Retinol 1.0 at night, HA5 2x daily,  Lytera 2x daily, TNS eye cream) makes a radical difference in my 60 year old skin.  This system evens skin tone, reduces fine lines and crepiness, tightens and hydrates like nothing I’ve used before.  ",11/16/21,Beth,True,3,0
Great Serum Although Pricey,5,This is my second bottle and I do think it helps keep my “mature” skin nourished. Only buy on sale though.,11/11/21,Barbara,True,1,0
Fabulous serum,5,This is the best product! It actually does what it claims to do. I certainly saw a difference when I started using this product awhile ago.  My bedtime routine is changed forever! Love it.,11/11/21,G,True,1,0
Very Powerful,4,"I just added this product to my nighttime routine. I use it a couple of days, then use retinol twice a week. The lines on my forehead look a lot better but I think using this product has caused significant irritation and extra dryness. I'm not sure if my skin is just too sensitive the next couple of days after the retinol to use this or if something else is off in my routine. But it's so expensive I don't want to stop!",11/11/21,Shea,True,0,0
TNS terrific!!,5,I have used this serum for years After i use this in my face i rub my upper hand under my chin and neck for extra benefits ,11/11/21,Harriet,True,0,0
Love this but super pricey,5,"Im sure you already realize, if you’re considering this serum, that it’s pricey. Not even a little pricey, VERY pricey!!! I don’t know if I’d say it’s worth the price but when it’s 15% (or more) off, I’d say it’s worth the price. I only buy it when it’s in sale. It’s not a miracle worker but I’d say this  serum makes my skin look 4-6 years younger. But then Again, i have been using it daily for about 2 months; it doesn’t work overnight.  Also, fyi, works well in cuts and gashes for scaring. ",11/10/21,Sharon,True,0,0
An intense serum that works,5,"I tried this serum a few years ago and continue to use it today.  It uniquely dispenses into two separate serums and allows you to blend  and apply to your face.  It is cooling, light and works to smooth wrinkles and lines.  The down side to this product is that it is quite expensive for the amount of serum provided and I question the price and hesitate each time I purchase it.  But if you are looking for a serum that works, this is one you may want to try.",11/10/21,Savyshopper,True,0,0
Lightweight similar to a serum,4,I’ve been using this product for a few years and I get many compliments on my skin,11/10/21,Kerri,True,0,0
TNS Advanced Serum,5,Expensive but so worth it! I've noticed my wrinkles have softened in only a couple of weeks. I'm 58 and I would highly recommend this product!!,11/8/21,Kathy,True,0,0
SkinMedica TNS Really Works!,5,I have been using SkinMedica TNS Advanced since it came out and I absolutely love it. I am a 50 year old woman but you would never know it by my skin. I have no wrinkles at all and people mistake me for 35 all the time. I love the compliments and will continue to use this as my go to skin care.,11/6/21,Cheryl,True,0,0
Best serum,5,I absolutely love this serum I’ve been using the TNS essentials serum for years and  then moved onto the advanced serum as I got older…both amazing products!,11/5/21,Natalie,True,0,0
Addicted,5,"I love this serum, I feel like it really makes a difference with my vitamin c serum and keeps my skin hydrated. Will continue to use it! It is pricy but a little goes a long way.",11/3/21,Debra,True,0,0
Expensive but WORTH IT!,5,"I never imagined spending this much on skincare but when you find one that you can literally see the difference, you splurge because honestly, you only get one skin!!",11/2/21,Kelly,True,0,0
Effective Skin Care,5,"I have been using for 3 months and I am seeing less wrinkles on my forehead and between my eyebrows, overall improvement in my skin tone and general radiance. I use it twice per day along with vit c in the morning and retain a at night. I will continue to purchase!",11/2/21,CD,True,0,0
GOAT,5,Greatest of All Time. This serum came highly recommended and have seen a noticeable difference to my skin after months of use.,10/23/21,Maureen,True,0,0
Excellent,5,OMG! This product is the bomb!!! Sooo happy my dermatologist recommended it to me. Definitely turns back the clock! If necessary I will work second job just to afford this serum!,10/21/21,Kacey,True,1,0
The best,4,This serum is the best. It's better than the original TNS serum bc it's far less stickier in my opinion. It's very expensive and that's why I gave it 4 out of 5 stars. They really need to think about the price.,10/19/21,Jennifer,True,0,0
Excellent product,5,"This is a wonderful all in one product with growth factors, antioxidants, and peptides. If you want a fast routine where you get everything from one product this will definitely do the job. Excellent quality product!",10/17/21,Staci,False,0,0
Love this Serum,5,"I've been using this product on and off for a few years. When I didn't use the serum consistently, smoother skin and evened tone were the noticeable results. But, since I started using the serum religiously twice a day for about eight months, the serum has minimized my fine lines, specifically the lines on my forehead and my frow burrow lines. Full disclosure - I use other SkinMedica products in addition to the serum, so the results may be from the combination of products and not the serum alone. Also, advice from a middle-aged woman who has been using skincare products for over 20 years. Always manage your expectations when using anti-aging skincare products. The results are noticeable but not drastic.",10/11/21,Michele,False,4,0
just magic,5,"This product is just magic. I can't explain it. After only a few uses, my skin is so smooth and plump. It's like filler and botox in a bottle. I wish they were a little more transparent about what's in it and what it actually does but it's just great and unfortunately I'm addicted to this expensive serum. The biggest complaint I have is that I hate the packaging. You can't tell when you're running low to repurchase. I would also love if this brand offered a travel sized/small bottle. ",10/8/21,rachel,False,4,0
Amazing serum,5,"This  serum is a game changer. It’s the ultimate for beautiful skin, texture and clarity. Worth the price because it gives you the foundation of gorgeous skin for everything else you put on it. Once you try it, you will be hooked. Love love love. ",10/6/21,Dawn,True,1,0
It works! If you can make it last ...,4,"The dispensing mechanism on this product is wasteful and awkward and should be changed. I ended up smashing the container open in the end and scooping up what was left with a Q-tip. Considering how much it costs, I didn't want to waste a drop. That said, it works. After a month of twice-daily usage, my skin is visibly improved, firmer and softer and smoother. So I ordered more and got on the subscription plan, which is worth it for a product this pricey. I just don't think there's anything else on the market quite like it. But I will be careful to use as little as possible this month.",10/6/21,Judy M.,True,4,0
Works great,4,Been using this for years (the regular version before the Advanced came out) and I believe it works- think I would definitely have more line than I do. I just wish it lasted longer for the price,10/5/21,G,True,1,0
I love this,5,After a microneedling session my aesthetician recommended using this product to promote skin health and beauty. Love it!,10/1/21,Teresa,False,0,0
